"","Date","CAPE"
"1","1881.01",18.4739523014049
"2","1881.02",18.1472581649902
"3","1881.03",18.270119140205
"4","1881.04",17.9501082782229
"5","1881.05",18.8697186931526
"6","1881.0599999999999",19.0287107311158
"7","1881.0699999999999",18.1163671873897
"8","1881.0799999999999",17.2862435539734
"9","1881.0899999999999",16.7248366487729
"10","1881.0999999999999",16.2619894111814
"11","1881.1099999999999",16.4786423166449
"12","1881.1199999999999",15.9587542061051
"13","1882.01",15.6787641600287
"14","1882.02",15.153861528363
"15","1882.03",15.0916702994867
"16","1882.04",14.9169971683753
"17","1882.05",14.5671032021918
"18","1882.0599999999999",14.3274048901317
"19","1882.0699999999999",15.2405597612178
"20","1882.0799999999999",15.525429331463
"21","1882.0899999999999",16.0811066244623
"22","1882.0999999999999",15.7555810305266
"23","1882.1099999999999",15.1926703131653
"24","1882.1199999999999",15.382128332082
"25","1883.01",15.2702591190986
"26","1883.02",14.7575901461762
"27","1883.03",15.0512541214016
"28","1883.04",15.4820672220367
"29","1883.05",15.3354976373371
"30","1883.0599999999999",15.9033883885838
"31","1883.0699999999999",15.948783127017
"32","1883.0799999999999",15.1968108766298
"33","1883.0899999999999",15.4946924257935
"34","1883.0999999999999",15.0480562702238
"35","1883.1099999999999",15.4082181424489
"36","1883.1199999999999",14.8964039418872
"37","1884.01",14.4328217219707
"38","1884.02",14.8059602288167
"39","1884.03",14.7360234540145
"40","1884.04",14.3534536825795
"41","1884.05",13.4650503138049
"42","1884.0599999999999",12.9068764836669
"43","1884.0699999999999",13.0439315859917
"44","1884.0799999999999",13.8598133417693
"45","1884.0899999999999",13.5691547443357
"46","1884.0999999999999",13.2732513191342
"47","1884.1099999999999",13.3044376021197
"48","1884.1199999999999",13.4322927469448
"49","1885.01",13.129817425636
"50","1885.02",13.384817593598
"51","1885.03",13.7341940934525
"52","1885.04",13.5485485410301
"53","1885.05",13.7113718725619
"54","1885.0599999999999",13.9787843686984
"55","1885.0699999999999",14.3266587770893
"56","1885.0799999999999",15.1304107967072
"57","1885.0899999999999",15.1162850287242
"58","1885.0999999999999",15.991023962169
"59","1885.1099999999999",16.824034498619
"60","1885.1199999999999",16.3044759522785
"61","1886.01",16.6923174707977
"62","1886.02",17.006648259461
"63","1886.03",16.8432661015701
"64","1886.04",16.8017161312463
"65","1886.05",16.8631955150978
"66","1886.0599999999999",17.8314940553769
"67","1886.0699999999999",17.8458450415322
"68","1886.0799999999999",17.7239127996193
"69","1886.0899999999999",18.1471439258
"70","1886.0999999999999",18.5623813428666
"71","1886.1099999999999",18.9683126349428
"72","1886.1199999999999",18.1940575568864
"73","1887.01",17.512222096305
"74","1887.02",17.1253665969723
"75","1887.03",17.4732137115138
"76","1887.04",17.8229836391007
"77","1887.05",18.0754454274583
"78","1887.0599999999999",17.707695663273
"79","1887.0699999999999",17.4314605356131
"80","1887.0799999999999",16.7398496148207
"81","1887.0899999999999",16.6766296673802
"82","1887.0999999999999",15.8806668125173
"83","1887.1099999999999",15.9507122010668
"84","1887.1199999999999",15.45551345447
"85","1888.01",15.3586625142599
"86","1888.02",15.4181783188205
"87","1888.03",14.8089723669466
"88","1888.04",15.0201086818445
"89","1888.05",15.3879169572291
"90","1888.0599999999999",15.0776288184347
"91","1888.0699999999999",15.2796425154982
"92","1888.0799999999999",15.6029116700888
"93","1888.0899999999999",15.9878288217614
"94","1888.0999999999999",15.7159418743297
"95","1888.1099999999999",15.2237490169463
"96","1888.1199999999999",14.9467483010892
"97","1889.01",15.8022860710282
"98","1889.02",16.192720447849
"99","1889.03",16.0650453607693
"100","1889.04",16.0501045339675
"101","1889.05",16.9154210760684
"102","1889.0599999999999",17.2193029439477
"103","1889.0699999999999",16.8892144911075
"104","1889.0799999999999",17.1318539753457
"105","1889.0899999999999",17.3507880263486
"106","1889.0999999999999",17.0532144029555
"107","1889.1099999999999",16.9060211702494
"108","1889.1199999999999",16.6103380766034
"109","1890.01",17.2200719821819
"110","1890.02",17.0268149826714
"111","1890.03",16.9011222885899
"112","1890.04",17.2578545426032
"113","1890.05",17.7864304878586
"114","1890.0599999999999",17.6843608444502
"115","1890.0699999999999",17.5892954408649
"116","1890.0799999999999",16.5967911339791
"117","1890.0899999999999",16.1697020006153
"118","1890.0999999999999",15.4828491633444
"119","1890.1099999999999",14.7450434932928
"120","1890.1199999999999",14.4429912313384
"121","1891.01",15.4289800864691
"122","1891.02",15.4765223324325
"123","1891.03",15.0516233576574
"124","1891.04",15.4089451254741
"125","1891.05",15.5664952307133
"126","1891.0599999999999",15.6582113956382
"127","1891.0699999999999",15.617919238646
"128","1891.0799999999999",16.163998509963
"129","1891.0899999999999",17.7112614132565
"130","1891.0999999999999",17.7165685898264
"131","1891.1099999999999",17.671739174764
"132","1891.1199999999999",18.2063030002099
"133","1892.01",19.0163884042253
"134","1892.02",19.0364250409784
"135","1892.03",19.738054849323
"136","1892.04",19.9432652416387
"137","1892.05",19.9114652134898
"138","1892.0599999999999",19.7692843971367
"139","1892.0699999999999",19.2118864345056
"140","1892.0799999999999",19.2043038031738
"141","1892.0899999999999",18.6942718095882
"142","1892.0999999999999",19.0402149153247
"143","1892.1099999999999",18.4633126908
"144","1892.1199999999999",18.0130092512757
"145","1893.01",17.6566437080988
"146","1893.02",17.1251938548725
"147","1893.03",16.8995890315823
"148","1893.04",17.1025415782549
"149","1893.05",15.7809873107763
"150","1893.0599999999999",15.4165038635977
"151","1893.0699999999999",14.3498541827609
"152","1893.0799999999999",14.5880565358078
"153","1893.0899999999999",15.0120690791388
